timestamp,state,city,population,hourly_energy_usage
2025-02-07 00:00,Georgia,Atlanta,500000,466207.97
2025-02-07 01:00,Georgia,Atlanta,500000,400714.92
2025-02-07 02:00,Georgia,Atlanta,500000,299978.57
2025-02-07 03:00,Georgia,Atlanta,500000,309052.62
2025-02-07 04:00,Georgia,Atlanta,500000,384190.59
2025-02-07 05:00,Georgia,Atlanta,500000,614215.95
2025-02-07 06:00,Georgia,Atlanta,500000,633340.1
2025-02-07 07:00,Georgia,Atlanta,500000,779319.48
2025-02-07 08:00,Georgia,Atlanta,500000,952184.21
2025-02-07 09:00,Georgia,Atlanta,500000,995101.37
2025-02-07 10:00,Georgia,Atlanta,500000,912502.9
2025-02-07 11:00,Georgia,Atlanta,500000,821158.72
2025-02-07 12:00,Georgia,Atlanta,500000,865150.71
2025-02-07 13:00,Georgia,Atlanta,500000,922275.83
2025-02-07 14:00,Georgia,Atlanta,500000,1049386.9
2025-02-07 15:00,Georgia,Atlanta,500000,1168856.21
2025-02-07 16:00,Georgia,Atlanta,500000,1142790.04
2025-02-07 17:00,Georgia,Atlanta,500000,971800.13
2025-02-07 18:00,Georgia,Atlanta,500000,1143423.82
2025-02-07 19:00,Georgia,Atlanta,500000,1086069.39
2025-02-07 20:00,Georgia,Atlanta,500000,982516.18
2025-02-07 21:00,Georgia,Atlanta,500000,866230.5
2025-02-07 22:00,Georgia,Atlanta,500000,718293.65
2025-02-07 23:00,Georgia,Atlanta,500000,522052.15
2025-02-08 00:00,Georgia,Atlanta,500000,490187.22
2025-02-08 01:00,Georgia,Atlanta,500000,427367.43
2025-02-08 02:00,Georgia,Atlanta,500000,350490.86
2025-02-08 03:00,Georgia,Atlanta,500000,357303.57
2025-02-08 04:00,Georgia,Atlanta,500000,421351.73
2025-02-08 05:00,Georgia,Atlanta,500000,652452.36
2025-02-08 06:00,Georgia,Atlanta,500000,692104.7
2025-02-08 07:00,Georgia,Atlanta,500000,816282.14
2025-02-08 08:00,Georgia,Atlanta,500000,1027606.71
2025-02-08 09:00,Georgia,Atlanta,500000,1169884.5
2025-02-08 10:00,Georgia,Atlanta,500000,1075857.76
2025-02-08 11:00,Georgia,Atlanta,500000,939504.77
2025-02-08 12:00,Georgia,Atlanta,500000,903104.68
2025-02-08 13:00,Georgia,Atlanta,500000,1014087.36
2025-02-08 14:00,Georgia,Atlanta,500000,1140456.24
2025-02-08 15:00,Georgia,Atlanta,500000,1333710.19
2025-02-08 16:00,Georgia,Atlanta,500000,1246218.44
2025-02-08 17:00,Georgia,Atlanta,500000,1091652.41
2025-02-08 18:00,Georgia,Atlanta,500000,1268666.74
2025-02-08 19:00,Georgia,Atlanta,500000,1225356.36
2025-02-08 20:00,Georgia,Atlanta,500000,1016972.67
2025-02-08 21:00,Georgia,Atlanta,500000,988781.41
2025-02-08 22:00,Georgia,Atlanta,500000,809167.69
2025-02-08 23:00,Georgia,Atlanta,500000,584348.97
2025-02-09 00:00,Georgia,Atlanta,500000,523742.69
2025-02-09 01:00,Georgia,Atlanta,500000,408011.99
2025-02-09 02:00,Georgia,Atlanta,500000,334217.24
2025-02-09 03:00,Georgia,Atlanta,500000,355041.01
2025-02-09 04:00,Georgia,Atlanta,500000,442594.22
2025-02-09 05:00,Georgia,Atlanta,500000,681933.98
2025-02-09 06:00,Georgia,Atlanta,500000,681380.32
2025-02-09 07:00,Georgia,Atlanta,500000,890480.33
2025-02-09 08:00,Georgia,Atlanta,500000,990831.97
2025-02-09 09:00,Georgia,Atlanta,500000,1071949.23
2025-02-09 10:00,Georgia,Atlanta,500000,998074.17
2025-02-09 11:00,Georgia,Atlanta,500000,990955.14
2025-02-09 12:00,Georgia,Atlanta,500000,990352.8
2025-02-09 13:00,Georgia,Atlanta,500000,1073418.85
2025-02-09 14:00,Georgia,Atlanta,500000,1119190.81
2025-02-09 15:00,Georgia,Atlanta,500000,1269430.98
2025-02-09 16:00,Georgia,Atlanta,500000,1215363.47
2025-02-09 17:00,Georgia,Atlanta,500000,1151067.95
2025-02-09 18:00,Georgia,Atlanta,500000,1311393.44
2025-02-09 19:00,Georgia,Atlanta,500000,1230380.99
2025-02-09 20:00,Georgia,Atlanta,500000,1011737.68
2025-02-09 21:00,Georgia,Atlanta,500000,970380.65
2025-02-09 22:00,Georgia,Atlanta,500000,777512.9
2025-02-09 23:00,Georgia,Atlanta,500000,611666.94
2025-02-10 00:00,Georgia,Atlanta,500000,461210.31
2025-02-10 01:00,Georgia,Atlanta,500000,399764.75
2025-02-10 02:00,Georgia,Atlanta,500000,308304.3
2025-02-10 03:00,Georgia,Atlanta,500000,312099.73
2025-02-10 04:00,Georgia,Atlanta,500000,408656.04
2025-02-10 05:00,Georgia,Atlanta,500000,633339.15
2025-02-10 06:00,Georgia,Atlanta,500000,604644.14
2025-02-10 07:00,Georgia,Atlanta,500000,774564.21
2025-02-10 08:00,Georgia,Atlanta,500000,912145.22
2025-02-10 09:00,Georgia,Atlanta,500000,985562.25
2025-02-10 10:00,Georgia,Atlanta,500000,902513.19
2025-02-10 11:00,Georgia,Atlanta,500000,815810.52
2025-02-10 12:00,Georgia,Atlanta,500000,840899.61
2025-02-10 13:00,Georgia,Atlanta,500000,978891.98
2025-02-10 14:00,Georgia,Atlanta,500000,1023713.22
2025-02-10 15:00,Georgia,Atlanta,500000,1112159.11
2025-02-10 16:00,Georgia,Atlanta,500000,1106772.28
2025-02-10 17:00,Georgia,Atlanta,500000,979873.41
2025-02-10 18:00,Georgia,Atlanta,500000,1181788.9
2025-02-10 19:00,Georgia,Atlanta,500000,1060227.72
2025-02-10 20:00,Georgia,Atlanta,500000,894656.98
2025-02-10 21:00,Georgia,Atlanta,500000,882452.26
2025-02-10 22:00,Georgia,Atlanta,500000,725624.41
2025-02-10 23:00,Georgia,Atlanta,500000,527945.21
2025-02-11 00:00,Georgia,Atlanta,500000,461352.77
2025-02-11 01:00,Georgia,Atlanta,500000,379110.09
2025-02-11 02:00,Georgia,Atlanta,500000,306215.84
2025-02-11 03:00,Georgia,Atlanta,500000,322316.44
2025-02-11 04:00,Georgia,Atlanta,500000,408497.52
2025-02-11 05:00,Georgia,Atlanta,500000,647772.45
2025-02-11 06:00,Georgia,Atlanta,500000,648758.61
2025-02-11 07:00,Georgia,Atlanta,500000,758289.9
2025-02-11 08:00,Georgia,Atlanta,500000,901477.9
2025-02-11 09:00,Georgia,Atlanta,500000,967245.17
2025-02-11 10:00,Georgia,Atlanta,500000,954676.02
2025-02-11 11:00,Georgia,Atlanta,500000,837740.39
2025-02-11 12:00,Georgia,Atlanta,500000,867731.84
2025-02-11 13:00,Georgia,Atlanta,500000,965887.37
2025-02-11 14:00,Georgia,Atlanta,500000,982048.14
2025-02-11 15:00,Georgia,Atlanta,500000,1218752.82
2025-02-11 16:00,Georgia,Atlanta,500000,1073335.67
2025-02-11 17:00,Georgia,Atlanta,500000,1048104.78
2025-02-11 18:00,Georgia,Atlanta,500000,1228348.46
